Year,Language_Pair,System,VID_avg,LVC_avg,VPC_avg,Normal_avg
17,en-cs,uedin-nmt,0.540017744,0.262937074,0.124880719,0.316910145
17,en-cs,online-B,0.055234513,0.185047652,0.05409632,0.267167201
17,en-cs,limsi-factored-norm,0.158246286,0.195301599,-0.035262812,0.121448594
17,en-cs,LIUM-FNMT,0.009030064,0.099157358,-0.228716077,0.120347234
17,en-de,LMU-nmt-reranked,-0.244521963,0.388091862,0.152333783,0.271472894
17,en-de,online-B,-0.557261103,0.01364002,-0.087970072,0.186206701
17,en-de,uedin-nmt,0.202092413,0.15299987,0.150731835,0.148645426
17,en-de,SYSTRAN,0.299946368,-0.471039265,-0.090121887,0.120357401
17,en-ru,online-B,0.252247421,0.341872242,0.165119562,0.392795332
17,en-ru,uedin-nmt,-0.117497975,0.166130459,-0.131056831,0.197773906
17,en-ru,online-H,-0.252224863,0.167192595,-0.146720436,0.136367822
17,en-ru,PROMT-Rule-based,-0.296332614,0.060076615,0.042071059,0.085918907
17,en-zh,SogouKnowing-nmt,0.116351919,-0.06764494,0.081708715,0.203817653
17,en-zh,uedin-nmt,-0.147427659,-0.128364555,0.168780658,0.196487999
17,en-zh,xmunmt,-0.113060844,0.221306229,-0.340513321,0.186906081
17,en-zh,online-B,-0.389937265,0.139155724,-0.19291429,0.096655632
18,en-cs,CUNI-Transformer,0.034840663,0.298929571,0.287606852,0.515796653
18,en-cs,uedin,-0.102569916,0.101503888,0.145592836,0.308316929
18,en-cs,online-B,-0.255717861,-0.164041974,-0.219318403,0.05351137
18,en-cs,online-A,-0.381048919,-0.129107118,-0.460594519,-0.161911951
18,en-de,online-Z,0.274749803,0.684908969,0.369937699,0.546135254
18,en-de,online-B,0.048374949,0.382919004,0.274580793,0.458194931
18,en-de,Microsoft-Marian,-0.395214797,0.333934752,0.310779981,0.455060673
18,en-de,MMT-production-system,0.105397422,0.477199242,0.238189807,0.462274131
18,en-ru,Alibaba-ensemble-model,0.186254963,0.211901158,0.152662373,0.311650775
18,en-ru,online-G,0.116601618,0.318957306,0.31226851,0.278826846
18,en-ru,online-B,-0.266522115,0.097420176,-0.018939133,0.146336654
18,en-ru,uedin,0.03503483,0.169728355,0.028124449,0.140820141
18,en-zh,Tencent-ensemble-system,0.063672155,0.232896436,0.220062038,0.193963764
18,en-zh,Unisound,0.124006189,0.346739408,0.20158198,0.150019465
18,en-zh,GTCOM-Primary,0.337245216,0.246452924,0.237574819,0.14801846
18,en-zh,Alibaba-ensemble-system-with-reranking,0.35574323,0.393961754,0.161475011,0.129065021
19,en-cs,CUNI-DocTransformer-T2T,0.163850376,0.281942121,0.219843332,0.450132081
19,en-cs,CUNI-Transformer-T2T-2018,0.352630239,0.257706936,0.336417297,0.445483098
19,en-cs,CUNI-Transformer-T2T-2019,0.250212759,0.357139173,0.239324848,0.387649457
19,en-cs,CUNI-DocTransformer-Marian,0.197548206,0.035055185,0.095949568,0.24344654
19,en-de,Facebook_FAIR,0.307976261,0.429857887,0.23891094,0.364720176
19,en-de,Microsoft-WMT19-sentence_document,0.182031192,0.28485694,0.234528657,0.342801676
19,en-de,Microsoft-WMT19-document-level,0.284723577,0.270329493,0.256354511,0.321827663
19,en-de,MSRA,0.147981338,0.311256646,0.209186211,0.259121344
19,en-ru,Facebook_FAIR,0.62456984,0.386074238,0.463721718,0.556866437
19,en-ru,USTC-MCC,0.455110025,0.144843578,0.145266915,0.387370178
19,en-ru,online-G,0.155319332,0.120234876,0.25355322,0.301808709
19,en-ru,online-B,0.294852926,0.19523927,0.204482577,0.30188381
19,en-zh,KSAI-system,0.059490163,0.109951212,0.141870328,0.334591392
19,en-zh,Baidu-system,0.017833894,0.274441781,0.059354274,0.326789624
19,en-zh,NEU,-0.044508239,0.070242732,-0.092923206,0.273410958
19,en-zh,online-A,-0.206625319,-0.097611175,-0.348759371,0.128110614
20,en-cs,CUNI-DocTransformer,0.500261485,0.452215182,0.53375965,0.576052407
20,en-cs,OPPO,0.441668446,0.623033017,0.518354283,0.555643441
20,en-cs,SRPOL,0.404411539,0.608365281,0.497763874,0.52004169
20,en-cs,CUNI-T2T-2018,0.458752518,0.462676786,0.358816633,0.476041463
20,en-de,OPPO,0.438733582,0.594097369,0.463904573,0.495363801
20,en-de,Tohoku-AIP-NTT,0.416633679,0.411691989,0.498041384,0.467851723
20,en-de,Online-B,0.545943897,0.50183559,0.532758827,0.40558492
20,en-de,Tencent_Translation,0.164268727,0.522013612,0.325406701,0.399865114
20,en-ru,Online-G,0.559582916,0.464509451,0.351327641,0.475757218
20,en-ru,OPPO,0.499020429,0.481808954,0.354171897,0.472117145
20,en-ru,ariel197197,0.277699835,0.374390182,0.178506546,0.425202447
20,en-ru,Online-B,0.085577671,0.127916752,0.280421774,0.384258623
20,en-zh,OPPO,0.384345856,0.449827707,0.370545665,0.470911726
20,en-zh,Tencent_Translation,0.324648307,0.429730046,0.362994675,0.435812734
20,en-zh,Huawei_TSC,0.295990412,0.453967271,0.316558513,0.444510765
20,en-zh,NiuTrans,0.345402506,0.392217141,0.364791489,0.416418491
21,en-cs,Facebook-AI,0.122359908,0.354417248,0.403994544,0.338941124
21,en-cs,Online-W,0.215047087,0.458253544,0.258719281,0.315057597
21,en-cs,eTranslation,-0.178093688,0.077417464,-0.061158624,0.072241165
21,en-cs,CUNI-Transformer2018,0.01364291,0.133545279,0.184555498,0.161472787
21,en-de,WeChat-AI,0.274720371,0.307615867,0.093724751,0.130509796
21,en-de,Facebook-AI,-0.047458699,0.304587008,0.104949843,0.178694831
21,en-de,UF,0.125011548,0.03415079,0.249427705,0.148256926
21,en-de,HuaweiTSC,0.241154763,0.422427458,0.036054803,0.077834264
21,en-ru,Online-W,0.108053177,0.33737439,0.108435773,0.204963356
21,en-ru,Online-B,-0.042489832,0.089021441,-0.018430177,0.042461915
21,en-ru,Online-A,-0.463678828,0.087799988,-0.047211966,0.051734671
21,en-ru,Facebook-AI,-0.058480474,0.208648455,0.117507236,0.128939276
21,en-zh,HappyNewYear,0.315929708,0.147431224,-0.028412843,0.121461883
21,en-zh,Facebook-AI,0.142503506,0.13658435,0.046568273,0.166673144
21,en-zh,Borderline,-0.069350905,0.200490585,0.052372825,0.12694882
21,en-zh,bjtu_nmt,0.295989972,0.127108724,0.000121305,0.084778485
22,en-cs,Online-W,0.068084131,0.142793688,0.109463745,0.145677942
22,en-cs,JDExploreAcademy,0.254789471,0.246650042,0.125189772,0.102539804
22,en-cs,Online-B,-0.510057496,0.121980981,-0.102361369,0.054655941
22,en-cs,Lan-Bridge,0.019235019,0.128004179,-0.057669273,0.020437176
22,en-de,Online-B,0.165755584,-0.32710942,-0.009801438,0.077920826
22,en-de,Online-W,-0.305289149,0.020892124,0.128125247,0.054987432
22,en-de,JDExploreAcademy,-0.40338163,0.241671031,0.174998725,0.091088103
22,en-de,Lan-Bridge,0.048824577,0.05550881,0.038908364,0.05454613
22,en-ru,Online-W,0.261298507,0.198529764,-0.023371758,0.091180474
22,en-ru,Online-G,0.268266844,0.207111939,0.026794932,0.085716226
22,en-ru,Online-B,0.049663496,0.073461076,0.135677985,0.111682789
22,en-ru,JDExploreAcademy,-0.14282448,0.132067135,-0.007538766,0.088002358
22,en-zh,Online-W,-0.098881796,0.016541028,0.10425965,0.037028687
