year,language pair,rank1,rank2,rank3,rank4
17,en-cs,uedin-nmt,online-B,limsi-factored-norm,LIUM-FNMT
17,en-de,LMU-nmt-reranked,online-B,uedin-nmt,SYSTRAN
17,en-ru,online-B,uedin-nmt,online-H,PROMT-Rule-based
17,en-zh,SogouKnowing-nmt,uedin-nmt,xmunmt,online-B
18,en-cs,CUNI-Transformer,uedin,online-B,online-A
18,en-de,online-Z,online-B,Microsoft-Marian,MMT-production-system
18,en-ru,Alibaba-ensemble-model,online-G,online-B,uedin
18,en-zh,Tencent-ensemble-system,Unisound,GTCOM-Primary,Alibaba-ensemble-system-with-reranking
19,en-cs,CUNI-DocTransformer-T2T,CUNI-Transformer-T2T-2018,CUNI-Transformer-T2T-2019,CUNI-DocTransformer-Marian
19,en-de,Facebook_FAIR,Microsoft-WMT19-sentence_document,Microsoft-WMT19-document-level,MSRA
19,en-ru,Facebook_FAIR,USTC-MCC,online-G,online-B
19,en-zh,KSAI-system,Baidu-system,NEU,online-A
20,en-cs,CUNI-DocTransformer,OPPO,SRPOL,CUNI-T2T-2018
20,en-de,OPPO,Tohoku-AIP-NTT,Online-B,Tencent_Translation
20,en-ru,Online-G,OPPO,ariel197197,Online-B
20,en-zh,OPPO,Tencent_Translation,Huawei_TSC,NiuTrans
21,en-cs,Facebook-AI,Online-W,eTranslation,CUNI-Transformer2018
21,en-de,WeChat-AI,Facebook-AI,UF,HuaweiTSC
21,en-ru,Online-W,Online-B,Online-A,Facebook-AI
21,en-zh,HappyNewYear,Facebook-AI,Borderline,bjtu_nmt
22,en-cs,Online-W,JDExploreAcademy,Online-B,Lan-Bridge
22,en-de,Online-B,Online-W,JDExploreAcademy,Lan-Bridge
22,en-ru,Online-W,Online-G,Online-B,JDExploreAcademy
22,en-zh,Online-W,JDExploreAcademy,Online-Y,Lan-Bridge
23,en-cs,ONLINE-W,GPT4-5shot,CUNI-GA,ONLINE-A
23,en-de,GPT4-5shot,ONLINE-B,ONLINE-W,ONLINE-A
23,en-zh,Yishu,GPT4-5shot,Lan-BridgeMT,ONLINE-B
24,en-cs,Unbabel-Tower70B,Claude-3.5,ONLINE-W,CUNI-MH
24,en-de,GPT-4,Dubformer,ONLINE-B,TranssionMT
24,en-ru,Dubformer,Claude-3.5,Unbabel-Tower70B,Yandex
24,en-zh,GPT-4,Unbabel-Tower70B,Gemini-1.5-Pro,ONLINE-B
